M = 1
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
 19   26.12   4.32666       25.5
 20   26.14   5.22557       25.5
 21   24      4.55802       23
 22   24.6    4.7937        24
 23   22.6    4.84031       21
 24   20.78   4.13689       21
 25   20.98   3.97692       21
 26   21.3    4.9621        20
 27   20.04   4.6201        19
 28   19.48   3.61539       19
 29   17.7    3.37609       18
 30   17.54   3.50632       17
 31   18      3.47586       18
 32   17.06   3.96624       17
 33   16.36   3.36707       15
 34   16.12   3.2679        15
 35   16.46   3.83438       16
 36   15.18   3.60663       14
 37   15.64   3.27489       15
 38   14.72   2.77775       15
 39   14.26   2.67879       14
 40   14      2.26779       13
 41   14.78   3.15769       14.5
 42   13.38   3.01621       13
 43   13.58   2.59584       13
 44   13.38   2.79131       13
 45   12.58   2.79277       12
 46   13.14   2.47444       13
 47   12.56   2.2238        12.5
 48   12.42   2.71872       12
 49   12.56   2.32256       12
 50   11.62   2.15605       12
 51   11.86   2.14771       11.5
 52   11.52   1.96126       11
 53   11.5    2.18763       11
 54   10.36   1.62581       10
 55   11.04   2.31199       11
 56   10.84   1.88831       11
 57   11      1.89521       11
 58   10.56   1.91833       10
 59   10.5    1.78714       10
 60   10.22   1.91972       10
 61   10.4    2.05039       10
 62   10.3    1.71726       10
 63   10.12   1.57325       10
 64    9.94   1.28428       10
 65    9.84   1.50319       10
 66    9.58   1.49952        9
 67    9.58   1.41551        9.5
 68    9.96   1.88398       10
 69    9.82   1.63744       10
 70    9.3    1.37396        9
 71    9.62   1.82824        9
 72    9.4    1.66599        9.5
 73    9.28   1.5124         9
 74    8.88   1.30368        9
 75    8.78   1.16567        9
 76    9.3    1.65677        9
 77    9.3    1.84336        9
 78    9.1    1.38873        9
 79    8.66   1.13587        8.5
 80    8.9    1.29756        9
 81    8.6    1.39971        8
 82    8.98   1.26958        9
 83    8.48   1.35887        8
 84    8.54   1.59348        8
 85    8.4    1.2454         8
 86    8.46   1.34331        8
 87    8.32   0.978128       8
 88    8.04   1.19455        8
 89    8.08   1.44052        8
 90    8.48   1.23288        8
 91    7.72   0.948468       8
 92    8.42   1.27919        8
 93    8.22   1.37455        8
 94    8.06   1.60878        8
 95    7.76   0.959592       8
 96    8.22   1.63245        8
 97    7.7    0.886405       8
 98    7.9    1.0351         8
 99    7.7    0.952976       8
100    7.74   1.06541        8
===  ======  =========  ========
M = 4
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  244.04  65.2896       222.5
  3  155.24  29.659        148.5
  4  112.06  27.5017       107.5
  5   98.26  18.3668        98
  6   84.94  20.4205        79.5
  7   71.44  17.8488        67.5
  8   59.68  13.0875        57
  9   51.64  10.9875        50
 10   49.48  12.7363        47
 11   44.18  10.032         43
 12   39.72   8.85263       38.5
 13   35.7    5.5961        35
 14   37.68   8.84432       36
 15   33.34   8.15816       32
 16   30.64   6.71204       29.5
 17   29.02   7.06671       27
 18   28.44   7.0513        27.5
 19   28.02   7.44638       26
 20   26.02   6.95023       25
 21   24.48   4.24379       25
 22   23.82   4.77532       23
 23   21.8    4.04061       21
 24   21.9    4.6697        20.5
 25   20.82   4.21218       20
 26   19.76   3.96186       19
 27   19.4    3.63655       18
 28   18.58   4.45426       17.5
 29   18.3    4.00128       17
 30   17.16   3.48969       16
 31   16.74   3.29384       16
 32   17.6    4.0051        17
 33   16.46   3.30868       16
 34   15.8    3.09047       15.5
 35   14.84   2.78744       14
 36   15.06   2.93751       15
 37   14.64   2.35398       15
 38   14.08   3.01588       13.5
 39   14.28   3.08413       14
 40   13.7    2.57341       14
 41   13.3    2.42647       13
 42   13.2    2.16654       13
 43   13.02   2.34294       13
 44   12.62   2.30253       12
 45   12.86   2.59521       12
 46   12.36   2.37985       12
 47   12.16   2.10306       12
 48   12.04   2.43243       11
 49   12.68   2.8099        12
 50   12      2.31234       12
 51   10.72   2.00041       10.5
 52   11.06   1.84513       11
 53   10.88   1.66157       11
 54   10.7    1.83225       11
 55   10.98   1.86799       11
 56   10.4    1.85164       10
 57   10.62   2.1655        10
 58    9.8    1.38505       10
 59   10.16   2.05397       10
 60   10.06   1.85615       10
 61   10.02   1.7082        10
 62    9.94   1.85615       10
 63    9.66   1.73335        9
 64    9.42   1.85263        9
 65    9.82   2.20102        9
 66    9.28   1.7384         9
 67    9.1    1.37396        9
 68    9.52   1.88701        9
 69    8.9    1.54193        9
 70    9.28   1.19591        9
 71    8.74   1.67588        8
 72    8.7    1.51523        8.5
 73    8.88   1.45181        9
 74    8.5    1.34392        8
 75    8.64   1.84899        8
 76    8.4    1.26168        8
 77    8.76   1.58514        9
 78    8.2    1.39971        8
 79    8.28   1.65418        8
 80    8.18   1.27279        8
 81    8.5    1.37396        8
 82    8.04   1.12413        8
 83    8.18   1.43839        8
 84    8.1    1.35902        8
 85    7.96   1.19455        8
 86    8      1.42857        8
 87    8.1    1.28174        8
 88    7.72   1.24605        8
 89    7.66   1.31878        7
 90    7.5    1.18235        7
 91    7.26   1.10306        7
 92    7.32   1.21957        7
 93    7.66   1.04217        8
 94    7.2    1.37024        7
 95    7.56   1.19796        7
 96    7.34   1.22241        7
 97    7.32   1.69561        7
 98    7.46   1.29694        7
 99    7.08   1.04667        7
100    7.24   0.959592       7
===  ======  =========  ========
M = 5
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  241.28  47.035        234
  3  168.06  39.4552       159.5
  4  123.42  30.1656       115
  5   96.68  21.123         92
  6   78.68  18.0921        78
  7   69.88  16.2501        64
  8   61.64  14.8705        62
  9   53.16  11.1837        51.5
 10   50.14  10.9824        49
 11   41.3    8.78368       40
 12   42.1   10.6239        39.5
 13   38.38  10.55          37
 14   35.62   9.18715       34
 15   33.9    8.5625        33
 16   31.38   5.88977       32
 17   29.42   6.90782       27.5
 18   27.84   4.51012       28
 19   25.32   5.4227        25
 20   24.08   5.45797       22
 21   23.92   5.07431       24
 22   22.48   4.29637       22
 23   20.94   3.71104       20
 24   21.24   4.18725       20
 25   20.66   4.47948       20
 26   19.3    3.92922       19.5
 27   19.46   4.02649       19
 28   17.46   3.8609        17
 29   18.14   3.90191       17
 30   16.28   3.91773       15
 31   16.88   3.82067       16
 32   16.84   3.58773       17
 33   16.16   3.30343       15.5
 34   15.82   2.7307        15
 35   14.82   2.98082       14.5
 36   14.5    3.24037       14
 37   14.74   2.94029       15
 38   13.9    2.58133       13
 39   14.6    3.55711       14
 40   13.08   2.8128        12.5
 41   12.72   2.16691       13
 42   12.08   2.32853       12
 43   12.64   2.8411        12
 44   12.22   2.21581       12
 45   12.24   2.72973       12
 46   11.78   1.8327        12
 47   11.9    2.16889       12
 48   11.66   1.82511       12
 49   12.3    2.27901       12
 50   11.06   2.09382       11
 51   10.78   1.87671       10
 52   11.06   2.28044       10
 53   11.26   2.29294       11
 54   10.36   1.67527       10
 55   10.9    2.80124       10.5
 56   10.8    2.86428       10
 57   10.74   2.43118       10
 58   10.12   2.01667       10
 59   10      1.62882       10
 60    9.6    1.29363       10
 61    9.82   1.4665        10
 62    9.28   1.67868        9
 63    9.38   1.73664        9
 64    9.5    1.92989        9.5
 65    9.68   1.51779        9.5
 66    9.38   1.60217        9
 67    9.16   1.48956        9
 68    9.18   1.57389        9
 69    8.84   1.98319        8
 70    8.96   1.62832        9
 71    8.6    1.5253         8
 72    8.62   1.87236        8
 73    8.5    1.60675        8
 74    8.46   1.68074        8
 75    8.32   1.11465        8
 76    8.2    1.06904        8
 77    8.42   1.55301        8
 78    7.98   1.39225        8
 79    8.1    1.5017         8
 80    8.12   1.53384        8
 81    7.94   1.28428        8
 82    7.94   1.44857        8
 83    7.72   1.37083        7.5
 84    8.26   1.77062        8
 85    7.86   1.44293        8
 86    7.24   1.07968        7
 87    7.12   1.06215        7
 88    7.52   1.0349         7
 89    7.4    1.17803        7
 90    7.78   1.32926        8
 91    7.28   0.881557       7
 92    7.02   0.936559       7
 93    7.12   1.15423        7
 94    7.48   1.44618        7
 95    7.1    1.28174        7
 96    7.26   1.3524         7
 97    7.08   0.944155       7
 98    6.94   1.34635        7
 99    6.84   1.03726        7
100    6.88   0.961292       7
===  ======  =========  ========
M = 6
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  251.92  69.514        232.5
  3  158.22  37.9007       149
  4  118.82  27.3434       115
  5   96.04  17.3828        94
  6   78.36  14.6938        75
  7   71.3   16.8913        69.5
  8   61.26  13.9017        60
  9   53.86  12.4163        53.5
 10   52.94  11.722         53
 11   44.9   11.6115        44
 12   41.46   9.88549       41.5
 13   36.92   7.81375       37
 14   35.42   7.07421       35
 15   32.54   5.99731       32
 16   29.1    5.7791        28
 17   28.62   7.17106       28
 18   26.46   5.54098       26
 19   26.54   7.4593        24
 20   24.82   5.08174       24
 21   24.16   4.65267       23.5
 22   23.02   5.73742       22
 23   21.66   4.44288       21
 24   21.86   5.7036        21
 25   19.42   4.04106       19
 26   19.32   4.07301       18
 27   18.78   4.59498       18
 28   17.44   3.25238       17
 29   17.28   3.30145       17
 30   17.7    3.52397       17
 31   16.48   4.02665       15.5
 32   15.1    2.97781       14
 33   15.98   3.42553       16
 34   15.62   4.35135       14
 35   15.38   3.81132       15
 36   14.54   2.40077       14.5
 37   14.32   3.15219       14
 38   13.66   3.04798       13
 39   13.04   2.11853       13
 40   12.86   2.44123       13
 41   12.88   2.20056       13
 42   11.78   2.59741       12
 43   12.54   2.15908       12
 44   11.88   2.30031       12
 45   11.98   2.18987       12
 46   12.04   3.01669       11
 47   11.68   2.3074        12
 48   11.76   2.57587       11
 49   11.28   2.41627       11
 50   10.84   1.88831       11
 51   10.48   2.37538       10
 52   10.38   2.18427       10
 53   10.28   1.40029       10
 54   10.42   2.02121       10
 55    9.86   1.76138        9
 56   10.66   2.46287       10
 57   10.26   2.13628       10
 58    9.72   2.14799        9
 59    9.68   1.64677        9
 60    9.66   1.94422        9
 61    9.68   2.0348         9
 62    9.56   1.77465        9
 63    9.3    1.54193        9
 64    9.28   1.95918        9
 65    9.48   2.20611        9
 66    9.28   1.85208        9
 67    8.66   1.49298        8
 68    8.92   1.54972        9
 69    8.92   1.32234        8
 70    8.22   1.18304        8
 71    8.32   1.31615        8
 72    8.12   1.11831        8
 73    8.32   1.4769         8
 74    8.18   1.22374        8
 75    8.3    1.65677        8
 76    8.2    1.85164        8
 77    8.06   1.16776        8
 78    7.98   1.26958        8
 79    8      1.34012        8
 80    7.76   1.45069        7
 81    7.98   1.16916        8
 82    7.62   1.45532        7
 83    7.68   1.40611        7
 84    7.3    1.43214        7
 85    7.22   1.26636        7
 86    7.08   1.14           7
 87    7.36   1.17387        7
 88    7.32   1.42055        7
 89    7.48   1.41767        7
 90    7.18   1.13731        7
 91    7.28   1.19591        7
 92    7.12   1.15423        7
 93    7.22   1.29819        7
 94    7.28   1.17872        7
 95    6.74   0.964894       7
 96    6.94   1.26829        7
 97    6.5    1.01519        6.5
 98    6.84   1.20136        7
 99    6.9    1.0351         7
100    6.66   0.960655       6.5
===  ======  =========  ========
M = 7
===  ======  ========  ========
  B    mean     stdev    median
===  ======  ========  ========
  2  248.38  57.0839      241
  3  156.88  31.8899      152
  4  125.44  29.1051      115
  5   97.94  25.0097       92.5
  6   77.22  14.5002       75
  7   65.92  14.2826       63
  8   59.56  11.9474       56.5
  9   52.12   9.86985      52
 10   48.02  11.0241       47
 11   41.9    8.8092       40.5
 12   38.32   7.74449      37.5
 13   39.84   9.44449      38.5
 14   34.56   7.40425      33.5
 15   34      9.03734      32
 16   30.06   7.0607       29.5
 17   30.3    6.5691       28.5
 18   27.5    5.65054      26.5
 19   27.28   5.81005      27
 20   25.1    6.49097      23
 21   23.82   5.36691      23
 22   23.08   6.10065      23
 23   22.46   6.13857      22
 24   21.4    4.54905      21
 25   20.52   3.92917      20
 26   19.1    3.69362      18.5
 27   17.5    3.50073      17
 28   18.62   4.22765      18
 29   17.34   3.83118      17
 30   16.54   4.09185      16
 31   16.54   3.5353       16
 32   15.96   3.10996      16
 33   15.18   3.60663      15
 34   14.98   3.10687      15
 35   15.74   4.15422      15
 36   14.32   2.47798      14
 37   13.9    2.71241      13.5
 38   14.04   2.39012      14
 39   13.68   3.02668      14
 40   13.34   2.74501      13
 41   12.58   2.32194      12
 42   12.62   3.08313      12
 43   12      2.82843      11.5
 44   11.36   1.99755      11
 45   11.76   2.35225      11.5
 46   11.12   2.37022      11
 47   11.1    2.27004      11
 48   11.14   2.04051      11
 49   10.94   1.84513      11
 50   10.6    1.77281      11
 51   10.58   2.27757      10.5
 52   10.8    2.06032      10
 53   10.34   1.91247      10
 54   10.34   2.32651      10
 55    9.8    1.81827      10
 56    9.66   1.69766       9
 57    9.66   1.52007       9.5
 58    9.92   1.63931      10
 59    9.58   1.72721       9
 60    9      1.70234       9
 61    9.3    1.83225       9
 62    9.08   1.74777       9
 63    8.76   1.79068       8
 64    8.46   1.38814       8
 65    8.54   1.59348       8
 66    8.88   1.98607       9
 67    8.5    1.52864       8
 68    9.12   1.92343       9
 69    8.56   1.89694       8
 70    8.56   1.72804       8
 71    8.06   1.31568       8
 72    7.9    1.43214       8
 73    8.28   1.67868       8
 74    8      1.88442       8
 75    8.34   1.9337        8
 76    8.3    1.59399       8
 77    7.44   1.26427       7
 78    7.64   1.65073       7.5
 79    8.02   1.37752       8
 80    7.56   1.41652       7
 81    7.48   1.18218       7
 82    7.92   1.24278       8
 83    7.8    1.45686       8
 84    7.38   1.3536        7
 85    7.58   1.29505       7
 86    7.26   1.17473       7
 87    6.88   0.91785       7
 88    7.46   1.88669       7
 89    7.28   1.26233       7
 90    6.68   1.0583        6.5
 91    7.22   1.44688       7
 92    6.68   1.09619       6
 93    6.96   1.10583       7
 94    7.22   1.14802       7
 95    7.1    1.16496       7
 96    6.96   1.33951       7
 97    6.7    1.12938       7
 98    6.56   1.26427       6
 99    6.82   1.20695       7
100    6.64   1.17387       6.5
===  ======  ========  ========
M = 8
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  231.34  47.8529       228.5
  3  160.7   43.4733       150
  4  119.6   22.5814       116
  5   96.4   21.3981        90
  6   79.52  19.9962        75
  7   68.36  14.0984        66.5
  8   63.04  15.8886        58
  9   51.86  11.2032        50
 10   48.12  11.7224        46
 11   41.5    8.49069       40
 12   42.58  10.3136        41
 13   40.22  12.4348        38
 14   33.7    4.90002       33.5
 15   33.28   7.44789       32
 16   30.34   6.42575       29
 17   27.04   5.30291       27.5
 18   28.3    6.06512       28
 19   26.46   4.80735       26
 20   23.82   5.17328       22.5
 21   25.1    6.99635       23.5
 22   22.12   3.54355       22
 23   21.34   4.38741       21
 24   20.62   3.6861        20
 25   18.88   3.59501       18
 26   19.68   4.39592       19
 27   18.4    4.43087       17
 28   18.28   4.80238       17
 29   17.1    3.22142       17
 30   17.26   3.49816       16.5
 31   15.96   3.69202       15
 32   16.22   3.12521       16
 33   15.42   3.14993       15
 34   16.22   4.19567       15.5
 35   14.14   2.50721       14
 36   14.48   3.1767        14
 37   14.16   2.8454        13
 38   13.58   2.61932       13
 39   13.3    2.54149       13
 40   13.1    2.72741       12.5
 41   12.48   2.54943       12
 42   12.74   2.57785       12
 43   11.74   2.32826       11
 44   12.14   2.23159       12
 45   11.46   1.91886       11
 46   11.28   2.12891       11
 47   11.52   2.36678       11
 48   10.82   1.87017       11
 49   11      1.82946       11
 50   10.74   2.29294       10
 51   10.04   2.02998       10
 52   10.96   1.87312       11
 53   10.1    1.71726       10
 54   10.1    1.75255       10
 55    9.84   1.69465       10
 56    9.78   2.15984        9
 57    9.72   1.85208        9.5
 58    9.56   1.47302        9.5
