M = 1
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
 53   10.38   1.90477       10
 54    9.54   1.65628        9
 55   10.2    1.93781       10
 56    9.6    1.87355       10
 57    9.16   1.71857        9
 58    9.4    2.03038        9
 59    9.34   1.82511        9
 60    8.88   1.53384        9
 61    9.2    1.89521        9
 62    8.82   2.05724        9
 63    8.92   1.62682        8.5
 64    8.46   1.55459        8
 65    8.64   1.61321        8
 66    8.34   1.82511        8
 67    8.36   1.8043         8
 68    8.44   1.47302        8
 69    7.96   1.49775        8
 70    7.94   1.50387        8
 71    7.94   1.73099        8
 72    7.78   1.28238        8
 73    7.6    1.41421        7
 74    7.64   1.3211         7
 75    7.28   1.22957        7
 76    7.52   1.432          7
 77    7.36   1.35164        7
 78    7.02   1.28556        7
 79    7.26   1.3524         7
 80    7.4    1.38505        7
 81    7.38   1.44123        7
 82    6.88   1.11831        7
 83    6.92   1.00691        7
 84    6.94   1.37633        7
 85    6.78   1.25014        6
 86    6.64   1.20814        6
 87    6.62   1.06694        7
 88    6.68   1.11465        7
 89    6.4    1.19523        6
 90    6.62   1.44123        6
 91    6.48   1.07362        6
 92    6.78   0.995705       7
 93    6.38   1.14089        6
 94    6.42   1.14446        6
 95    6      1.16058        6
 96    6.28   1.32542        6
 97    6.18   1.74602        6
 98    5.94   0.934814       6
 99    6.32   1.09619        6
100    6.12   1.06215        6
===  ======  =========  ========
